field_name,field_type
type,string
is_primary,boolean
active_symbol,boolean
index,string
earnings_per_share_basic_ttm,fundamental_price
changechangechange|1change|5change|15change|30change|60change|120change|240change|1Wchange|1M,percent
change_abschange_abschange_abs|1change_abs|5change_abs|15change_abs|30change_abs|60change_abs|120change_abs|240change_abs|1Wchange_abs|1M,price
market_cap_basic,fundamental_price
number_of_employees,number
closecloseclose|1close|5close|15close|30close|60close|120close|240close|1Wclose|1M,price
price_earnings_ttm,number
sector,string
Recommend.AllRecommend.AllRecommend.All|1Recommend.All|5Recommend.All|15Recommend.All|30Recommend.All|60Recommend.All|120Recommend.All|240Recommend.All|1WRecommend.All|1M,number
volumevolumevolume|1volume|5volume|15volume|30volume|60volume|120volume|240volume|1Wvolume|1M,number
Value.TradedValue.TradedValue.Traded|1Value.Traded|5Value.Traded|15Value.Traded|30Value.Traded|60Value.Traded|120Value.Traded|240Value.Traded|1WValue.Traded|1M,number
High.1M,number
Low.1M,number
beta_1_year,number
High.3M,number
Low.3M,number
Perf.3M,number
Perf.5Y,number
High.6M,number
Low.6M,number
Perf.6M,number
price_52_week_high,number
price_52_week_low,number
High.All,number
Low.All,number
Perf.All,number
Aroon.DownAroon.DownAroon.Down|1Aroon.Down|5Aroon.Down|15Aroon.Down|30Aroon.Down|60Aroon.Down|120Aroon.Down|240Aroon.Down|1WAroon.Down|1M,number
Aroon.UpAroon.UpAroon.Up|1Aroon.Up|5Aroon.Up|15Aroon.Up|30Aroon.Up|60Aroon.Up|120Aroon.Up|240Aroon.Up|1WAroon.Up|1M,number
ADRADRADR|1ADR|5ADR|15ADR|30ADR|60ADR|120ADR|240ADR|1WADR|1M,number
ADXADXADX|1ADX|5ADX|15ADX|30ADX|60ADX|120ADX|240ADX|1WADX|1M,number
ATRATRATR|1ATR|5ATR|15ATR|30ATR|60ATR|120ATR|240ATR|1WATR|1M,number
average_volume_10d_calcaverage_volume_10d_calcaverage_volume_10d_calc|1average_volume_10d_calc|5average_volume_10d_calc|15average_volume_10d_calc|30average_volume_10d_calc|60average_volume_10d_calc|120average_volume_10d_calc|240average_volume_10d_calc|1Waverage_volume_10d_calc|1M,number
average_volume_30d_calcaverage_volume_30d_calcaverage_volume_30d_calc|1average_volume_30d_calc|5average_volume_30d_calc|15average_volume_30d_calc|30average_volume_30d_calc|60average_volume_30d_calc|120average_volume_30d_calc|240average_volume_30d_calc|1Waverage_volume_30d_calc|1M,number
average_volume_60d_calcaverage_volume_60d_calcaverage_volume_60d_calc|1average_volume_60d_calc|5average_volume_60d_calc|15average_volume_60d_calc|30average_volume_60d_calc|60average_volume_60d_calc|120average_volume_60d_calc|240average_volume_60d_calc|1Waverage_volume_60d_calc|1M,number
average_volume_90d_calcaverage_volume_90d_calcaverage_volume_90d_calc|1average_volume_90d_calc|5average_volume_90d_calc|15average_volume_90d_calc|30average_volume_90d_calc|60average_volume_90d_calc|120average_volume_90d_calc|240average_volume_90d_calc|1Waverage_volume_90d_calc|1M,number
AOAOAO|1AO|5AO|15AO|30AO|60AO|120AO|240AO|1WAO|1M,number
basic_eps_net_income,fundamental_price
BB.lowerBB.lowerBB.lower|1BB.lower|5BB.lower|15BB.lower|30BB.lower|60BB.lower|120BB.lower|240BB.lower|1WBB.lower|1M,number
BB.upperBB.upperBB.upper|1BB.upper|5BB.upper|15BB.upper|30BB.upper|60BB.upper|120BB.upper|240BB.upper|1WBB.upper|1M,number
BBPowerBBPowerBBPower|1BBPower|5BBPower|15BBPower|30BBPower|60BBPower|120BBPower|240BBPower|1WBBPower|1M,number
cash_n_short_term_invest_fy,fundamental_price
cash_n_short_term_invest_fq,fundamental_price
cash_n_equivalents_fy,fundamental_price
cash_n_equivalents_fq,fundamental_price
ChaikinMoneyFlowChaikinMoneyFlowChaikinMoneyFlow|1ChaikinMoneyFlow|5ChaikinMoneyFlow|15ChaikinMoneyFlow|30ChaikinMoneyFlow|60ChaikinMoneyFlow|120ChaikinMoneyFlow|240ChaikinMoneyFlow|1WChaikinMoneyFlow|1M,number
change_from_openchange_from_openchange_from_open|1change_from_open|5change_from_open|15change_from_open|30change_from_open|60change_from_open|120change_from_open|240change_from_open|1Wchange_from_open|1M,percent
change_from_open_abschange_from_open_abschange_from_open_abs|1change_from_open_abs|5change_from_open_abs|15change_from_open_abs|30change_from_open_abs|60change_from_open_abs|120change_from_open_abs|240change_from_open_abs|1Wchange_from_open_abs|1M,price
CCI20CCI20CCI20|1CCI20|5CCI20|15CCI20|30CCI20|60CCI20|120CCI20|240CCI20|1WCCI20|1M,number
country,string
current_ratio,number
debt_to_equity,number
dividends_paid,fundamental_price
dps_common_stock_prim_issue_yoy_growth_fy,percent
dps_common_stock_prim_issue_fy,fundamental_price
dividends_per_share_fq,fundamental_price
dividend_yield_recent,number
DonchCh20.LowerDonchCh20.LowerDonchCh20.Lower|1DonchCh20.Lower|5DonchCh20.Lower|15DonchCh20.Lower|30DonchCh20.Lower|60DonchCh20.Lower|120DonchCh20.Lower|240DonchCh20.Lower|1WDonchCh20.Lower|1M,number
